"Source:","/home/strav/devel/diy-synth/power-supply/power-supply/power-supply.kicad_sch"
"Date:","Thu 19 May 2022 08:36:32 AM EDT"
"Tool:","Eeschema 6.0.5-a6ca702e91~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","18"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Manufacturer","Manufacturer Part No.","Supplier","Supplier Part No."
"","","C1","4700uF","Device:C_Polarized_US","Capacitor_THT:CP_Radial_D16.0mm_P7.50mm","~","JB Capacitors","JRB1E472M07501600250000B","Tayda","A-1077"
"","","C2","4700uF","Device:C_Polarized_US","Capacitor_THT:CP_Radial_D16.0mm_P7.50mm","~","JB Capacitors","JRB1E472M07501600250000B","Tayda","A-1077"
"","","C3","4700uF","Device:C_Polarized_US","Capacitor_THT:CP_Radial_D16.0mm_P7.50mm","~","JB Capacitors","JRB1E472M07501600250000B","Tayda","A-1077"
"","","C4","4700uF","Device:C_Polarized_US","Capacitor_THT:CP_Radial_D16.0mm_P7.50mm","~","JB Capacitors","JRB1E472M07501600250000B","Tayda","A-1077"
"","","C5","4700uF","Device:C_Polarized_US","Capacitor_THT:CP_Radial_D16.0mm_P7.50mm","~","JB Capacitors","JRB1E472M07501600250000B","Tayda","A-1077"
"","","C6","4700uF","Device:C_Polarized_US","Capacitor_THT:CP_Radial_D16.0mm_P7.50mm","~","JB Capacitors","JRB1E472M07501600250000B","Tayda","A-1077"
"","","C7","1uF","Device:C","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm","~","AVX","1uF 35V Radial Capacitor Tantalum","Tayda","A-265 "
"","","C8","1uF","Device:C","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm","~","AVX","1uF 35V Radial Capacitor Tantalum","Tayda","A-265 "
"","","C9","1uF","Device:C","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm","~","AVX","1uF 35V Radial Capacitor Tantalum","Tayda","A-265 "
"","","C10","1uF","Device:C","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm","~","AVX","1uF 35V Radial Capacitor Tantalum","Tayda","A-265 "
"","","D1","1N4007","Diode:1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","EIC","1N4007","Tayda","A-155"
"","","D2","1N4007","Diode:1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","EIC","1N4007","Tayda","A-155"
"","","HS1","Heatsink","Mechanical:Heatsink","","~","005A1INW","Tayda","Tayda","A-1486 "
"","","HS2","Heatsink","Mechanical:Heatsink","","~","005A1INW","Tayda","Tayda","A-1486 "
"","","J1","Barrel_Jack_Switch","Connector:Barrel_Jack_Switch","WEALTH_METAL_Barrel_Jacks:BarrelJack_Horizontal_2.1mm_WEALTH_METAL","~","WEALTH METAL","DC Power Jack 2.1mm","Tayda","A-4118"
"","","J2","Output","Connector:Screw_Terminal_01x03","TerminalBlock:TerminalBlock_Altech_AK300-3_P5.00mm","~","DEGSON","DG126-03P","Tayda","A-663 "
"","","U1","LM7812_TO220","Regulator_Linear:LM7812_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF","STMicroelectronics","L7812CV","Tayda","A-207 "
"","","U2","LM7912_TO220","Regulator_Linear:LM7912_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","hhttps://www.onsemi.com/pub/Collateral/MC7900-D.PDF","STMicroelectronics","L7912CV","Tayda","A-505 "



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Manufacturer","Manufacturer Part No.","Supplier","Supplier Part No."
"1","6","C1, C2, C3, C4, C5, C6","4700uF","Device:C_Polarized_US","Capacitor_THT:CP_Radial_D16.0mm_P7.50mm","~","JB Capacitors","JRB1E472M07501600250000B","Tayda","A-1077"
"2","4","C7, C8, C9, C10","1uF","Device:C","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm","~","AVX","1uF 35V Radial Capacitor Tantalum","Tayda","A-265 "
"3","2","D1, D2","1N4007","Diode:1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","EIC","1N4007","Tayda","A-155"
"4","2","HS1, HS2","Heatsink","Mechanical:Heatsink","","~","005A1INW","Tayda","Tayda","A-1486 "
"5","1","J1","Barrel_Jack_Switch","Connector:Barrel_Jack_Switch","WEALTH_METAL_Barrel_Jacks:BarrelJack_Horizontal_2.1mm_WEALTH_METAL","~","WEALTH METAL","DC Power Jack 2.1mm","Tayda","A-4118"
"6","1","J2","Output","Connector:Screw_Terminal_01x03","TerminalBlock:TerminalBlock_Altech_AK300-3_P5.00mm","~","DEGSON","DG126-03P","Tayda","A-663 "
"7","1","U1","LM7812_TO220","Regulator_Linear:LM7812_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF","STMicroelectronics","L7812CV","Tayda","A-207 "
"8","1","U2","LM7912_TO220","Regulator_Linear:LM7912_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","hhttps://www.onsemi.com/pub/Collateral/MC7900-D.PDF","STMicroelectronics","L7912CV","Tayda","A-505 "
